Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
CPU,BX8070110900K,Intel,Core i9-10900K,1,102,30068,https://cpu.userbenchmark.com/Intel-Core-i9-10900K/Rating/4071
CPU,BX80684I99900KS,Intel,Core i9-9900KS,2,102,9970,https://cpu.userbenchmark.com/SpeedTest/929964/IntelR-CoreTM-i9-9900KS-CPU---400GHz
CPU,BX8070110850K,Intel,Core i9-10850K,3,101,20436,https://cpu.userbenchmark.com/SpeedTest/1255865/IntelR-CoreTM-i9-10850K-CPU---360GHz
CPU,100-100000061WOF,AMD,Ryzen 9 5900X,4,101,17892,https://cpu.userbenchmark.com/AMD-Ryzen-9-5900X/Rating/4087
CPU,100-100000059WOF,AMD,Ryzen 9 5950X,5,101,7989,https://cpu.userbenchmark.com/AMD-Ryzen-9-5950X/Rating/4086
CPU,BX8070110900KF,Intel,Core i9-10900KF,6,100,5534,https://cpu.userbenchmark.com/SpeedTest/1174369/IntelR-CoreTM-i9-10900KF-CPU---370GHz
CPU,100-100000063WOF,AMD,Ryzen 7 5800X,7,99.5,32350,https://cpu.userbenchmark.com/AMD-Ryzen-7-5800X/Rating/4085
CPU,BX8070110700K,Intel,Core i7-10700K,8,99.1,73229,https://cpu.userbenchmark.com/Intel-Core-i7-10700K/Rating/4070
CPU,BX80684I99900KF,Intel,Core i9-9900KF,9,98.4,12782,https://cpu.userbenchmark.com/SpeedTest/764533/IntelR-CoreTM-i9-9900KF-CPU---360GHz
CPU,BX8070110700KF,Intel,Core i7-10700KF,10,98.3,6408,https://cpu.userbenchmark.com/SpeedTest/1171560/IntelR-CoreTM-i7-10700KF-CPU---380GHz
CPU,,Intel,Core i9-10900,11,98.2,3573,https://cpu.userbenchmark.com/SpeedTest/1169242/IntelR-CoreTM-i9-10900-CPU---280GHz
CPU,BX80684I79700KF,Intel,Core i7-9700KF,12,98,18808,https://cpu.userbenchmark.com/SpeedTest/710154/IntelR-CoreTM-i7-9700KF-CPU---360GHz
CPU,BX80684I99900K,Intel,Core i9-9900K,13,98,312702,https://cpu.userbenchmark.com/Intel-Core-i9-9900K/Rating/4028
CPU,BX8070110900F,Intel,Core i9-10900F,14,97.7,1737,https://cpu.userbenchmark.com/SpeedTest/1196789/IntelR-CoreTM-i9-10900F-CPU---280GHz
CPU,BX80684I79700K,Intel,Core i7-9700K,15,97.3,347064,https://cpu.userbenchmark.com/Intel-Core-i7-9700K/Rating/4030
CPU,100-100000065BOX,AMD,Ryzen 5 5600X,16,96.7,49852,https://cpu.userbenchmark.com/AMD-Ryzen-5-5600X/Rating/4084
CPU,BX8070110600K,Intel,Core i5-10600K,17,96,23429,https://cpu.userbenchmark.com/Intel-Core-i5-10600K/Rating/4072
CPU,,AMD,Ryzen 9 5900HS,18,95.7,7,https://cpu.userbenchmark.com/SpeedTest/1452199/AMD-Ryzen-9-5900HS-with-Radeon-Graphics
CPU,BX8070110600KF,Intel,Core i5-10600KF,19,95.6,3420,https://cpu.userbenchmark.com/SpeedTest/1225152/IntelR-CoreTM-i5-10600KF-CPU---410GHz
CPU,BX80684I78086K,Intel,Core i7-8086K,20,95.3,30664,https://cpu.userbenchmark.com/SpeedTest/516988/IntelR-CoreTM-i7-8086K-CPU---400GHz
CPU,BX8070110700,Intel,Core i7-10700,21,95.2,20151,https://cpu.userbenchmark.com/Intel-Core-i7-10700/Rating/4077
CPU,BX8070110700F,Intel,Core i7-10700F,22,94.8,8010,https://cpu.userbenchmark.com/SpeedTest/1183814/IntelR-CoreTM-i7-10700F-CPU---290GHz
CPU,BX80684I59600K,Intel,Core i5-9600K,23,94.6,243394,https://cpu.userbenchmark.com/Intel-Core-i5-9600K/Rating/4031
CPU,BX8070110600,Intel,Core i5-10600,24,94.3,2601,https://cpu.userbenchmark.com/Intel-Core-i5-10600/Rating/4069
CPU,BX80684I99900,Intel,Core i9-9900,25,94.2,6123,https://cpu.userbenchmark.com/SpeedTest/816115/IntelR-CoreTM-i9-9900-CPU---310GHz
CPU,BX80684I59600KF,Intel,Core i5-9600KF,26,93.8,38067,https://cpu.userbenchmark.com/SpeedTest/772658/IntelR-CoreTM-i5-9600KF-CPU---370GHz
CPU,BX80684I79700,Intel,Core i7-9700,27,93.7,45306,https://cpu.userbenchmark.com/SpeedTest/816180/IntelR-CoreTM-i7-9700-CPU---300GHz
CPU,BX80684I79700F,Intel,Core i7-9700F,28,93.4,27089,https://cpu.userbenchmark.com/SpeedTest/816132/IntelR-CoreTM-i7-9700F-CPU---300GHz
CPU,BX80684I78700K,Intel,Core i7-8700K,29,93.2,594741,https://cpu.userbenchmark.com/Intel-Core-i7-8700K/Rating/3937
CPU,,AMD,Ryzen 9 5900HX,30,92.9,84,https://cpu.userbenchmark.com/SpeedTest/1449683/AMD-Ryzen-9-5900HX-with-Radeon-Graphics
CPU,BX80684I59600,Intel,Core i5-9600,31,92.7,504,https://cpu.userbenchmark.com/SpeedTest/853186/IntelR-CoreTM-i5-9600-CPU---310GHz
CPU,BX80684I58600K,Intel,Core i5-8600K,32,92.6,185003,https://cpu.userbenchmark.com/Intel-Core-i5-8600K/Rating/3941
CPU,BX8070110500,Intel,Core i5-10500,33,92,2489,https://cpu.userbenchmark.com/Intel-Core-i5-10500/Rating/4078
CPU,100-100000279WOF,AMD,Ryzen 7 3800XT,34,89.7,7106,https://cpu.userbenchmark.com/SpeedTest/1218139/AMD-Ryzen-7-3800XT-8-Core-Processor
CPU,BX80684I78700,Intel,Core i7-8700,35,89.5,251629,https://cpu.userbenchmark.com/Intel-Core-i7-8700/Rating/3940
CPU,BX80684I39350KF,Intel,Core i3-9350KF,36,89.5,704,https://cpu.userbenchmark.com/Intel-Core-i3-9350KF/Rating/4055
CPU,,Intel,Core i3-10320,37,89.4,161,https://cpu.userbenchmark.com/SpeedTest/1180543/IntelR-CoreTM-i3-10320-CPU---380GHz
CPU,,AMD,Ryzen 7 4700G,38,89.3,128,https://cpu.userbenchmark.com/SpeedTest/1135003/AMD-Ryzen-7-4700G-8-Core-Processor
CPU,100-100000277WOF,AMD,Ryzen 9 3900XT,39,89.2,12036,https://cpu.userbenchmark.com/SpeedTest/1202614/AMD-Ryzen-9-3900XT-12-Core-Processor
CPU,BX80684I59500,Intel,Core i5-9500,40,89,4057,https://cpu.userbenchmark.com/SpeedTest/825467/IntelR-CoreTM-i5-9500-CPU---300GHz
CPU,BX8070110400,Intel,Core i5-10400,41,89,19644,https://cpu.userbenchmark.com/Intel-Core-i5-10400/Rating/4073
CPU,100-100000023BOX,AMD,Ryzen 9 3900X,42,88.7,191488,https://cpu.userbenchmark.com/AMD-Ryzen-9-3900X/Rating/4044
CPU,BX8070110400F,Intel,Core i5-10400F,43,88.6,25973,https://cpu.userbenchmark.com/Intel-Core-i5-10400F/Rating/4079
CPU,100-100000051WOF,AMD,Ryzen 9 3950X,44,88.5,29222,https://cpu.userbenchmark.com/AMD-Ryzen-9-3950X/Rating/4057
CPU,BX80684I58600,Intel,Core i5-8600,45,88.4,12580,https://cpu.userbenchmark.com/SpeedTest/477251/IntelR-CoreTM-i5-8600-CPU---310GHz
CPU,,Intel,Core i9-10980HK,46,88.3,2198,https://cpu.userbenchmark.com/SpeedTest/1065893/IntelR-CoreTM-i9-10980HK-CPU---240GHz
CPU,,AMD,Ryzen 7 5800H,47,88.2,153,https://cpu.userbenchmark.com/SpeedTest/1442974/AMD-Ryzen-7-5800H-with-Radeon-Graphics
CPU,BX8069510940X,Intel,Core i9-10940X,48,87.9,782,https://cpu.userbenchmark.com/SpeedTest/932085/IntelR-CoreTM-i9-10940X-CPU---330GHz
CPU,BX80677I77700K,Intel,Core i7-7700K,49,87.8,470215,https://cpu.userbenchmark.com/Intel-Core-i7-7700K/Rating/3647
CPU,100-100000025BOX,AMD,Ryzen 7 3800X,50,87.6,114499,https://cpu.userbenchmark.com/AMD-Ryzen-7-3800X/Rating/4047
CPU,BX80677I77740X,Intel,Core i7-7740X,51,87.5,3817,https://cpu.userbenchmark.com/SpeedTest/304932/IntelR-CoreTM-i7-7740X-CPU---430GHz
CPU,BX80671I76900K,Intel,Core i7-6900K,52,87.5,5463,https://cpu.userbenchmark.com/Intel-Core-i7-6900K/Rating/3605
